eps,ln eps,N(eps),ln N
0.5,-0.6931471805599453,5,1.6094379124341005
0.25,-1.3862943611198906,12,2.4849066497880004
0.125,-2.0794415416798357,35,3.5553480614894135
0.0625,-2.772588722239781,103,4.634728988229636
0.03125,-3.4657359027997265,323,5.777652323222656
0.015625,-4.1588830833596715,1147,7.044905117129371
0.0078125,-4.852030263919617,4313,8.369388996647842
0.00390625,-5.545177444479562,16633,9.719143952790535
0.001953125,-6.238324625039508,65047,11.082865364506684
0.0009765625,-6.931471805599453,257966,12.460583072273884
